service_approval_number, date_approval_granted, geocode_level, trading_name, provider_approval_number, state, postcode, conditions, legal_name, suburb, address, ogc_fid, longitude, latitude
null,"29 Dec 2011","Address",null,"PR-00003075","VIC",3093,null,"Lower Plenty Primary School","LOWER PLENTY","Lower Plenty Primary School",2954,145.1156714,-37.7259975
null,"15 Nov 2013","Address","DAY AND NIGHT FAMILY DAY CARE","PR-40001045","VIC",3011,null,"DAY AND NIGHT FAMILY DAY CARE PTY. LTD.","FOOTSCRAY","DAY AND NIGHT FAMILY DAY CARE",2968,144.8934844,-37.7992143
null,"03 Jan 2013","Address","Safeway Family Day Care Pty Ltd","PR-00008062","VIC",3011,null,"Safeway Family Day Care Pty Ltd","FOOTSCRAY","Safeway Family Day Care  ",2969,144.8934844,-37.7992143
null,"29 Dec 2011","Address",null,"PR-00002868","VIC",3178,null,"Karoo Primary School","ROWVILLE","KAROO ROAD ",2977,145.265182,-37.9055593
null,"29 Dec 2011","Address",null,"PR-00001931","VIC",3121,null,"Yarra City Council","RICHMOND","Yarra City Council",2986,145.000798,-37.8185568
null,"29 Dec 2011","Address",null,"PR-00001314","VIC",3058,null,"Antonine Sisters Victoria Property Association Inc","COBURG","11-13 BARROW STREET ",2988,144.970426,-37.754847
null,"28 Mar 2013","Address","Tarneit P-9 College","PR-40000457","VIC",3029,null,"TARNEIT P-9 COLLEGE SCHOOL COUNCIL","TARNEIT","Tarneit P-9 College",3014,144.6792341,-37.8370514
null,"29 Dec 2011","Address",null,"PR-00002154","VIC",3134,null,"North Ringwood Community Children's Centre Inc","RINGWOOD NORTH","North Ringwood Community Children's Centre ",3015,145.23333,-37.8015588
null,"29 Dec 2011","Address",null,"PR-00003044","VIC",3134,null,"Holy Spirit Community School","RINGWOOD NORTH","ATTENTION SUE JOHNSTON HOLY SPIRIT PRIMARY SCHOOL 120 OBAN RD",3016,145.226877,-37.799883
null,"29 Dec 2011","Address",null,"PR-00003037",null,null,null,"St Peter Apostle Catholic Church Hoppers Crossing","HOPPERS CROSSING","St Peter Apostle Catholic Church Hoppers Crossing",3018,144.689892,-37.875065
null,"07 Dec 2012","Address","Children Heaven Family Day Care","PR-00008176","VIC",3029,null,"Children Heaven Pty Ltd","TARNEIT","Children Heaven Family Day Care",3021,144.6561847,-37.8426997
null,"29 Dec 2011","Address",null,"PR-00002585","VIC",3030,null,"Darl Enterprises Pty Ltd","WERRIBEE","85 PRES HIGHWAY ",3033,144.664,-37.9
null,"04 Jun 2012","Address","Kids Vision Family Day Care","PR-00006628","VIC",3011,null,"Kids Vision Family Day Care Pty Ltd","FOOTSCRAY","Kids Vision Family Day Care",3035,144.8973581,-37.7997927
null,"29 Dec 2011","Address",null,"PR-00001572","VIC",3190,null,"Highett Preschool Inc","HIGHETT","Highett Preschool ",3048,145.0432024,-37.9496845
null,"01 Apr 2014","Address",null,"PR-40001797","VIC",3191,null,"Wallaby Childcare Blackrock Pty Ltd ATF Wallaby Childcare Blackrock Trust","SANDRINGHAM","Wallaby Childcare Blackrock   ATF Wallaby Childcare Blackrock Trust",3054,145.0135139,-37.9533967
null,"01 Jan 2012","Address",null,"PR-00006547","VIC",3191,null,"Wallaby Childcare Greensborough PTY LTD ATF Wallaby Childcare Greensborough Trust","SANDRINGHAM","Wallaby Childcare Greensborough   ATF Wallaby Childcare Greensborough Trust",3055,145.0135139,-37.9533967
null,"29 Dec 2011","Address",null,"PR-00001902","VIC",3939,null,"Waterfall Gully Preschool Inc","ROSEBUD","Waterfall Gully Preschool ",3057,144.914019,-38.368627
null,"29 Dec 2011","Address",null,"PR-00001951","VIC",3191,null,"Concern Pty Ltd","SANDRINGHAM","111 TULIP STREET ",3059,145.0244972,-37.9627708
null,"29 Dec 2011","Address",null,"PR-00002378","VIC",3191,null,"Kids on Tulip Pty Ltd ATF Ferguson Family Trust 2","SANDRINGHAM","111 TULIP STREET ",3060,145.0244972,-37.9627708
null,"29 Dec 2011","Address",null,"PR-00003052","VIC",3151,null,"All Children's Care Early Learning Centre PL Atf the V Lombardi Trading Trust","BURWOOD EAST","All Children's Care Early Learning Centre PL Atf the V Lombardi Trading Trust",3061,145.1513801,-37.8552869
null,"16 Jul 2012","Address","Scoresby Village Childcare","PR-00006828","VIC",3179,null,"TKNA PTY LTD","SCORESBY","Scoresby Village Childcare",3077,145.2284099,-37.8987953
null,"29 Dec 2011","Address",null,"PR-00002734","VIC",3029,null,"St James The Apostle Primary School","HOPPERS CROSSING","DERRIMUT ROAD ",3104,144.684363,-37.8697546
null,"29 Dec 2011","Address",null,"PR-00002668","VIC",3175,null,"Dandenong Day Nursery Inc- Dandenong Family Day Care","DANDENONG NORTH","Dandenong Day Nursery - Dandenong Family Day Care",3106,145.212108,-37.967876
null,"28 Jun 2013","Address","Caring and Sharing Family Day Care Services","PR-40000619","VIC",3020,null,"Mrs Neima Omer","SUNSHINE NORTH","20 LOLN ST ",3114,144.84445,-37.773984
null,"29 Dec 2011","Address",null,"PR-00001967","VIC",3131,null,"Whitehorse City Council","NUNAWADING","2 NUNAWADING DELIVERY CENTRE ",3119,145.184492,-37.8235059
null,"29 Dec 2011","Address",null,"PR-00002922","VIC",3207,null,"Port Phillip Specialist School Council","PORT MELBOURNE","CNR NOTT AND POOL STREET ",3130,144.9424267,-37.8366062
null,"29 Dec 2011","Address",null,"PR-00002353","VIC",3151," •\tThe Approved Provider must ensure that the person in management and control Amanda Bergh attends and completes professional development approved by the Regulatory Authority on Service Management and Leadership by 30 June 2013 and provides documentary evidence to the department within 10 working days of completion.•\tThe Approved Provider must arrange for all educators and staff members who are appointed or engaged or employed at services operated by them to attend an educative session on the National Quality Framework delivered by Regional Authorised Officers of the Regulatory Authority by no later than 28 February 2013.","Malaambe Pty Ltd","BURWOOD EAST","Malaambe  ",3144,145.1506633,-37.8532778
null,"29 Dec 2011","Address",null,"PR-00002963","VIC",3023,null,"Kororoit Creek Primary School","CAROLINE SPRINGS","Kororoit Creek Primary School",3155,144.7543061,-37.7351552
null,"29 Dec 2011","Address",null,"PR-00001807","VIC",3912,null,"Somerville Preschool Inc","SOMERVILLE","Somerville Preschool ",3170,145.1789107,-38.2246354
null,"29 Dec 2011","Address",null,"PR-00002102","VIC",3134,null,"Yarra Valley Grammar School","RINGWOOD","KALINDA ROAD ",3198,145.2552353,-37.7873285
null,"29 Dec 2011","Address",null,"PR-00001412","VIC",3805,null,"Casey City Council","NARRE WARREN","Casey City Council",3201,145.3013945,-38.0188684
null,"29 Dec 2011","Address",null,"PR-00001517","VIC",3141,null,"Fawkner Park Children's Centre Co-op Ltd","SOUTH YARRA","65 TOORAK ROAD (WEST) ",3238,144.9799894,-37.837497
null,"29 Dec 2011","Address",null,"PR-00002931","VIC",3074,null,"Bubup Wilam for Early Learning Incorporated","THOMASTOWN","Bubup Wilam for Early Learning ",3239,145.004371,-37.6789407
null,"29 Dec 2011","Address",null,"PR-00001529","VIC",3146,null,"Gardiner Preschool Inc","GLEN IRIS","Gardiner Preschool ",3240,145.051299,-37.855217
null,"18 Sep 2013","Address","Mudane Family Day Care","PR-40000671","VIC",3068,null,"MUDANE FAMILY DAY CARE PTY LTD","FITZROY NORTH","7 HOLDEN CT ",3244,144.978963,-37.778983
null,"29 Dec 2011","Address",null,"PR-00001333","VIC",3934,null,"Balcombe Preschool Association Inc","MOUNT MARTHA","Balcombe Preschool  ",3246,145.0289674,-38.2727906
null,"29 Dec 2011","Address",null,"PR-00002283","VIC",3911,null,"Little People (Vic) Pty Ltd T/AS Long Island Early Learning Centre","BAXTER","Little People (Vic)   T/AS Long Island Early Learning Centre",3248,145.157,-38.196
null,"29 Dec 2011","Address",null,"PR-00002911","VIC",3163,null,"Glen Huntly Primary School Council","GLEN HUNTLY","Glen Huntly Primary School Council",3249,145.0463882,-37.8936492
null,"29 Dec 2011","Address",null,"PR-00001346","VIC",3074,null,"Barry Road Preschool Inc","THOMASTOWN","Barry Road Preschool ",3289,144.9972332,-37.6714527
null,"29 Dec 2011","Address",null,"PR-00001885","VIC",3125,null,"Deakin & Community Childcare Co-operative Ltd","BURWOOD","DEAKIN UNIVERSITY BURWOOD 221 BURWOOD HWY",3294,145.1100113,-37.8443075
null,"29 Dec 2011","Address",null,"PR-00001362","VIC",3151,null,"Benwerrin Preschool Association Inc","BURWOOD EAST","CNR BURWOOD HWY & BENWERRIN DRIVE ",3307,145.2312622,-37.8677091
null,"29 Dec 2011","Address",null,"PR-00002070","VIC",3943,null,"Sorrento Community Centre Inc","SORRENTO","Sorrento Community Centre ",3321,144.737598,-38.3383912
null,"29 Dec 2011","Address",null,"PR-00002253","VIC",3131,null,"Mount Pleasant Road Nunawading Primary School Council","FOREST HILL","Mount Pleasant Road Nunawading Primary School Council",3373,145.1808657,-37.8289756
null,"18 Apr 2013","Address","Busy Bees Family Day Care Service","PR-40000459","VIC",3805,null,"Prasadi Vithanage","NARRE WARREN","503 PRES HWY ",3382,145.3032906,-38.0302499
null,"29 Dec 2011","Address",null,"PR-00003028","VIC",3180,null,"Knox Park Primary School","KNOXFIELD","KATHRYN ROAD ",3384,145.2491009,-37.8894085
null,"29 Dec 2011","Address",null,"PR-00002425","VIC",3151,null,"Burwood Heights Primary School Council","BURWOOD EAST","CNR HAWTHORN AND MAHONEYS ROADS ",3390,145.1635179,-37.8473571
null,"29 Dec 2011","Address",null,"PR-00001932","VIC",3775,null,"Yarra Glen Preschool Assoc Inc","YARRA GLEN","Yarra Glen Preschool Assoc ",3392,145.3748175,-37.6587534
null,"29 Dec 2011","Address",null,"PR-00001975","VIC",3806,null,"St Margaret's School","BERWICK","St Margaret's School",3400,145.347195,-38.0356891
null,"25 Jan 2013","Address",null,"PR-00008055","VIC",3805,null,"Hillsmeade Primary School Council","NARRE WARREN SOUTH","Hillsmeade Primary School Council",3403,145.3074986,-38.0649923
null,"29 Dec 2011","Address",null,"PR-00001657","VIC",3134,null,"Maroondah City Council","RINGWOOD","Maroondah City Council",3404,145.2420537,-37.8080783
null,"29 Dec 2011","Address",null,"PR-00002830","VIC",3169,null,"Kingston City Church Inc","CLARINDA","312-322 KINGSTON ROAD ",3408,145.111822,-37.958827
null,"29 Dec 2011","Address",null,"PR-00002029","VIC",3067,null,"Sophia Mundi Ltd","ABBOTSFORD","Sophia Mundi ",3419,145.0050957,-37.8036524
null,"29 Dec 2011","Address",null,"PR-00001467","VIC",3001,null,"Defence and ABC Child Care Association Inc","MELBOURNE","Defence and ABC Child Care  ",3420,144.9625965,-37.8124206
null,"29 Dec 2011","Address",null,"PR-00002368","VIC",3019,null,"A 2 Z Childcare Pty Ltd","BRAYBROOK","97A - 101 HARGREAVES CRESCENT ",3425,144.8517537,-37.7860767
null,"29 Dec 2011","Address",null,"PR-00002989","VIC",3127,null,"Our Holy Redeemer School","SURREY HILLS","311 MONT ALBERT RD ",3430,145.1001804,-37.8206858
null,"29 Dec 2011","Address","BPA Children's Services","PR-00002186","VIC",3020,null,"Brimbank Preschool Association Inc","SUNSHINE","BPA Children's Services",3440,144.836507,-37.778321
null,"29 Dec 2011","Address",null,"PR-00003033","VIC",3058,null,"Coburg West Primary School","COBURG","REYNARD STREET ",3445,144.9556837,-37.7477091
null,"30 Sep 2013","Address","PLAY HOUSE FAMILY DAY CARE PTY LTD","PR-40001002","VIC",3072,null,"PLAY HOUSE FAMILY DAY CARE PTY LTD","PRESTON","PLAY HOUSE FAMILY DAY CARE  ",3449,145.0037274,-37.7418861
null,"29 Dec 2011","Address",null,"PR-00002781","VIC",3934,null,"Mt Martha Primary School Council","MOUNT MARTHA","GLENISLA DRIVE ",3453,145.017119,-38.2749318
null,"29 Dec 2011","Address",null,"PR-00002050","VIC",3930,null,"The Peninsula School","MOUNT ELIZA","The Peninsula School",3458,145.0919713,-38.199355
null,"29 Dec 2011","Address",null,"PR-00003004","VIC",3101,null,"Kew Primary School","KEW","PEEL STREET ",3470,145.0339802,-37.7997176
null,"02 Jan 2014","Address","FUTURE KIDS (AUST) PTY LTD","PR-40001349","VIC",3429,null,"FUTURE KIDS (AUST) PTY LTD","SUNBURY","FUTURE KIDS (AUST)  ",3485,144.713889,-37.581111
null,"16 Apr 2012","Address",null,"PR-00002469","VIC",3429,null,"Just Kids (Aust) Pty Ltd","SUNBURY","Just Kids (Aust)  ",3486,144.713889,-37.581111
null,"29 Dec 2011","Address",null,"PR-00002199","VIC",3028,null,"Tiann Pty Ltd. ATF Bircher Family Trust","ALTONA MEADOWS","Tiann  . ATF Bircher Family Trust",3493,144.782,-37.875
null,"29 Dec 2011","Address",null,"PR-00001906","VIC",3095,null,"Wattletree Preschool Inc","ELTHAM","Wattletree Preschool ",3499,145.1517962,-37.7015792
null,"29 Dec 2011","Address",null,"PR-00001439","VIC",3150,null,"Columbia Park Pre-school Assocation Inc","WHEELERS HILL","Columbia Park Pre-school Assocation ",3509,145.1852757,-37.9154799
null,"29 Dec 2011","Address",null,"PR-00002890","VIC",3054,null,"Princes Hill Primary School","CARLTON NORTH","PIGDON STREET ",3510,144.9702053,-37.7818662
null,"29 Dec 2011","Address",null,"PR-00002958","VIC",3084,null,"Heidelberg Primary School","HEIDELBERG","Heidelberg Primary School",3517,145.0676752,-37.754692
null,"29 Dec 2011","Address",null,"PR-00002726","VIC",3138,null,"Billanook College","MOOROOLBARK","197-199 CARDIGAN ROAD ",3519,145.3380577,-37.7857386
null,"31 Dec 2012","Address","Moreland Community Child Care Centres Inc","PR-40000289","VIC",3056,null,"MORELAND COMMUNITY CHILD CARE CENTRES INC.","BRUNSWICK","Moreland Community Child Care Centres ",3520,144.9718247,-37.7597873
null,"29 Dec 2011","Address",null,"PR-00002840","VIC",3115,null,"Wonga Park Primary School","WONGA PARK","DUDLEY ROAD ",3529,145.2743407,-37.730281
null,"29 Dec 2011","Address",null,"PR-00001570","VIC",3174,null,"Heritage Preschool Association Inc","NOBLE PARK NORTH","2 BAKERS RD ",3532,145.1963851,-37.9537811
null,"29 Nov 2012","Address","Kids Early Education Network","PR-40000052","VIC",3047,null,"KIDS EARLY EDUCATION NETWORK PTY LTD","BROADMEADOWS","LPO BOX 3239 ",3540,144.925,-37.685
null,"29 Dec 2011","Address",null,"PR-00002016","VIC",3142,null,"St Johns Anglican Kindergarten Inc","TOORAK","86 CLENDON ROAD ",3541,145.014503,-37.8419988
null,"07 Dec 2016","Address",null,"PR-40009651","VIC",3079,null,"Fairy Hills Kindergarten Association Inc","IVANHOE","356 UPPER HEIDELBERG RD ",3552,145.0516873,-37.7602328
null,"29 Dec 2011","Address",null,"PR-00002464","VIC",3083,null,"City of Whittlesea","BUNDOORA","CHILDREN'S SERVICES LOCKED BAG 1 ",3554,145.0548502,-37.6987006
null,"28 Mar 2013","Address","RESERVOIR EAST PRIMARY SCHOOL","PR-40000436","VIC",3073,null,"RESERVOIR EAST PRIMARY SCHOOL COUNCIL","RESERVOIR","BOLDREWOOD PARADE ",3562,145.0215699,-37.717972
null,"29 Dec 2011","Address",null,"PR-00001615","VIC",3930,null,"Kunyung Preschool Association Inc","MOUNT ELIZA","Kunyung Preschool  ",3577,145.081808,-38.192336
null,"18 Dec 2015","Address","DISCOVERY TREE EARLY LEARNING CENTRE","PR-40005974","VIC",3169,null,"DISCOVERY TREE EARLY LEARNING CENTRE PTY. LTD. ATF DISCOVERY TREE EARLY LEARNING CENTRE UNIT TRUST","CLARINDA","DISCOVERY TREE EARLY LEARNING CENTRE",3579,145.103,-37.941
null,"29 Dec 2011","Address",null,"PR-00001683","VIC",3039,null,"Moonee Valley City Council","MOONEE PONDS","Moonee Valley City Council",3581,144.9251043,-37.76419
null,"29 Dec 2011","Address",null,"PR-00002765","VIC",3121,null,"Richmond Primary School","RICHMOND","BRIGHTON STREET ",3585,144.9988394,-37.8296457
null,"29 Dec 2011","Address",null,"PR-00002883","VIC",3152,null,"Wantirna South Primary School","WANTIRNA SOUTH","TYNER ROAD ",3597,145.2375387,-37.8726407
null,"01 Jan 2012","Address",null,"PR-00006542","VIC",3175,null,"Cornish College","BANGHOLME","65 RIVEREND ROAD ",3603,145.1490636,-38.0459792
null,"29 Dec 2011","Address",null,"PR-00002941","VIC",3131,null,"Parkmore Primary School","FOREST HILL","JOLIMONT ROAD ",3607,145.1772125,-37.8436751
null,"29 Dec 2011","Address",null,"PR-00001835","VIC",3146,null,"Summerhill Park Kindergarten Inc","GLEN IRIS","46 AUDREY CRESCENT ",3609,145.0813796,-37.8582364
null,"29 Dec 2011","Address",null,"PR-00002478","VIC",3171,null,"Springvale Service For Children Inc","SPRINGVALE","Springvale Service For Children ",3621,145.156823,-37.952515
null,"29 Dec 2011","Address",null,"PR-00002300","VIC",3084,null,"Brept p/l  ATF The Bemco Trust","ROSANNA","Brept p/l  ATF The Bemco Trust",3625,145.069,-37.737
null,"29 Dec 2011","Address",null,"PR-00001750","VIC",3182,null,"City of Port Phillip","ST KILDA","City of Port Phillip",3629,144.982,-37.864
null,"29 Dec 2011","Address",null,"PR-00002869","VIC",3150,null,"Glen Waverley South Primary School Council","GLEN WAVERLEY","WHITES LANE ",3632,145.1702732,-37.8970039
null,"29 Dec 2011","Address",null,"PR-00002443","VIC",3204,null,"Kids Plus Ormond Pty Ltd","ORMOND","Kids Plus Ormond  ",3639,145.0410692,-37.902081
null,"29 Dec 2011","Address",null,"PR-00001580","VIC",3187,null,"Hurlingham Preschool Association Inc","BRIGHTON EAST","1 PALMER AVENUE ",3644,145.0147821,-37.9115762
null,"29 Dec 2011","Address",null,"PR-00002988","VIC",3128,null,"Roberts McCubbin Primary School","BOX HILL SOUTH","BIRDWOOD ST ",3648,145.1254308,-37.8325126
null,"29 Dec 2011","Address",null,"PR-00002982","VIC",3149,null,"Pinewood Primary School Council","MOUNT WAVERLEY","PINEWOOD DRIVE ",3651,145.1403376,-37.8885722
null,"29 Dec 2011","Address",null,"PR-00002141","VIC",3138,null,"Manchester Preschool Inc.","MOOROOLBARK","132 MANCHESTER ROAD ",3657,145.3125527,-37.7769306
null,"29 Dec 2011","Address",null,"PR-00002028","VIC",3101,null,"The Society of Jesus in Victoria","KEW","XAVIER COLLEGE 135 BARKERS RD",3661,145.034054,-37.811477
null,"29 Dec 2011","Address",null,"PR-00001510","VIC",3199,null,"Erinwood Preschool Inc","FRANKSTON","111-113 RAPHAEL CRESCENT ",3666,145.1551923,-38.1646285
null,"29 Dec 2011","Address",null,"PR-00001356","VIC",3198,null,"Belvedere Park Preschool Association Inc","SEAFORD","Belvedere Park Preschool  ",3674,145.147797,-38.107412
null,"29 Dec 2011","Address",null,"PR-00003056","VIC",3156,null,"OSHCare 4 KIDS Pty Ltd The Trustee for OSHCare 4 KIDS Unit Trust","UPPER FERNTREE GULLY","OSHCare 4 KIDS   The Trustee for OSHCare 4 KIDS Unit Trust",3684,145.31,-37.895
null,"29 Dec 2011","Address",null,"PR-00002441","VIC",3060,null,"DARUL ULUM COLLEGE OF VICTORIA","FAWKNER","DARUL ULUM COLLEGE OF VICTORIA",3686,144.97095,-37.7052074
null,"29 Dec 2011","Address",null,"PR-00002920","VIC",3198,null,"Seaford North Primary School","SEAFORD","HALLIFAX STREET ",3690,145.1328411,-38.0935789
null,"29 Dec 2011","Address",null,"PR-00002905","VIC",3206,null,"Middle Park Primary School Council","MIDDLE PARK","RICHARDSON STREET ",3691,144.9630944,-37.8502047
null,"04 Oct 2013","Address","MCLEANS ROAD KINDERGARTEN","PR-40000924","VIC",3083,null,"MCLEANS ROAD KINDERGARTEN INC","BUNDOORA","151 MCLEANS RD ",3693,145.0448829,-37.6946776
null,"29 Dec 2011","Address",null,"PR-00003020","VIC",3761,null,"St Andrews Primary School Council","ST ANDREWS","CALEDONIA STREET ",3696,145.2752997,-37.5996782
null,"29 Dec 2011","Address",null,"PR-00002786","VIC",3121,null,"Yarra Primary School","RICHMOND","DAVISON STREET ",3732,145.00774,-37.814558
null,"29 Dec 2011","Address",null,"PR-00001369","VIC",3912,null,"Blacks Camp Preschool Centre Inc","SOMERVILLE","Blacks Camp Preschool Centre ",3702,145.1694816,-38.2308319
null,"29 Dec 2011","Address",null,"PR-00002146","VIC",3225,null,"Queenscliff Kindergarten Inc","QUEENSCLIFF","STEVENS STREET ",3704,144.6560904,-38.2676885
null,"26 Nov 2012","Address","Clever Future Family Day Care","PR-00008051","VIC",3058,null,"Miss Deeqo Sallad","COBURG","3 14 GAFFNEY STREET",3713,144.9637278,-37.733841
null,"29 Dec 2011","Address",null,"PR-00002623","VIC",3940,null,"Eastbourne Primary School","ROSEBUD WEST","ALLAMBI AVE ",3735,144.8854433,-38.3729983
null,"29 Dec 2011","Address",null,"PR-00001776","VIC",3083,null,"Numdaji Kwei Children's Centre Co-op Ltd","BUNDOORA","MCKIMMIES ROAD ",3738,145.0557762,-37.677639
null,"13 Jan 2014","Address","Hazel Glen College School Council","PR-40001226","VIC",3754,null,"HAZEL GLEN COLLEGE","DOREEN","HAZEL GLEN COLLEGE 175 COOKES RD",3741,145.1200168,-37.5975705
null,"29 Dec 2011","Address",null,"PR-00002919","VIC",3136,null,"Croydon Hills Primary School","CROYDON HILLS","CAMPASPE DRIVE ",3745,145.2723841,-37.7766731
null,"29 Dec 2011","Address",null,"PR-00002572","VIC",3910,null,"Kids Paradise Long Street Pty Ltd","LANGWARRIN","Kids Paradise Long Street  ",3746,145.184207,-38.152937
null,"29 Dec 2011","Address",null,"PR-00002157","VIC",3135,null,"Knaith Road Child Care Centre Inc","RINGWOOD EAST","KNAITH ROAD ",3748,145.2507879,-37.8146245
null,"29 Dec 2011","Address",null,"PR-00002366","VIC",3030,null,"Sanctuary Lakes Resort Child Care Centre Pty Ltd ATF Sanctuary Lakes Resort Child Care Centre Unit Trust","SANCTUARY LAKES","88 GREG NORMAN DRIVE ",3757,144.7617044,-37.8963732
null,"29 Dec 2011","Address",null,"PR-00002144","VIC",3149,null,"Huntingtower School Association","MOUNT WAVERLEY","Huntingtower School ",3758,145.1361211,-37.8764869
null,"30 May 2016","Address","Crescent Family Day care","PR-40007386","VIC",3051,null,"CRESCENT FAMILY DAY CARE PTY. LTD.","NORTH MELBOURNE","U 64  12 SUTTON ST ",3759,144.9413218,-37.7921511
null,"29 Dec 2011","Address",null,"PR-00002957","VIC",3786,null,"Ferny Creek Primary School","FERNY CREEK","SCHOOL ROAD ",3763,145.3335176,-37.8837055
null,"10 Oct 2016","Address","KIDZ CORNER ELC","PR-40007907","VIC",3162,null,"KOOL KIDZ ELC PTY LTD ATF KOOL KIDZ ELC UNIT TRUST","CAULFIELD","U 1  875 GLEN HUNTLY RD ",3771,145.0222596,-37.8868299
null,"29 Dec 2011","Address",null,"PR-00001349","VIC",3911,null,"Baxter Preschool Inc","BAXTER","Baxter Preschool ",3773,145.152706,-38.1974779
null,"29 Dec 2011","Address",null,"PR-00002940","VIC",3223,null,"Portarlington Primary School","PORTARLINGTON","NEWCOMBE ST ",3789,144.658969,-38.1157675
null,"19 Feb 2014","Address","STARFISH CHILDCARE NUNAWADING PTY LTD ATF STARFISH NUNAWADING TRUST","PR-40001560","VIC",3172,null,"STARFISH CHILDCARE NUNAWADING PTY LTD ATF STARFISH NUNAWADING TRUST","DINGLEY VILLAGE","STARFISH CHILDCARE NUNAWADING   ATF STARFISH NUNAWADING TRUST",3798,145.128,-37.981
null,"30 Apr 2013","Address","Baraka First Family Day Care","PR-40000542","VIC",3030,null,"BARAKA FIRST FAMILY DAY CARE PTY LTD","WERRIBEE","U 4  3 SYNNOT ST ",3799,144.666823,-37.9007845
null,"07 Feb 2012","Address",null,"PR-00006771","VIC",3127,null,"Belotte Pty Ltd ATF Williams Family Trust","SURREY HILLS","Belotte   ATF Williams Family Trust",3803,145.106,-37.83
null,"29 Dec 2011","Address",null,"PR-00002610","VIC",3057,null,"Mnasa Pty Ltd","BRUNSWICK EAST","83 HOLMES STREET ",3804,144.974321,-37.7598625
null,"29 Dec 2011","Address",null,"PR-00002385","VIC",3083,null,"Wallaby Childcare Bundoora Pty Ltd","BUNDOORA","14 SCHOLAR DRIVE UNIVERSITY HILL ",3807,145.0715676,-37.681956
null,"29 Dec 2011","Address",null,"PR-00002140","VIC",3137,null,"Palm Grove Preschool Centre Inc","KILSYTH","Palm Grove Preschool Centre ",3810,145.3178,-37.805829
null,"10 Jul 2014","Address",null,"PR-40001948","VIC",3168,null,"CARECHOICE(AUST) Pty Ltd ATF CareChoice Business Trust","CLAYTON","2A WESTALL ROAD ",3811,145.1422909,-37.9277833
null,"29 Dec 2011","Address",null,"PR-00001992","VIC",3070,null,"Westgarth Kindergarten Inc","NORTHCOTE","CLARKE STREET ",3813,145.0017757,-37.7770767
null,"29 Dec 2011","Address",null,"PR-00003025","VIC",3155,null,"Knox Central Primary School Council","BORONIA","DARWIN ROAD ",3818,145.2552395,-37.861172
null,"29 Dec 2011","Address",null,"PR-00002655","VIC",3165,null,"Valkstone Primary School Council","BENTLEIGH EAST","Valkstone Primary School Council",3820,145.0571136,-37.9144644
null,"29 Dec 2011","Address",null,"PR-00001880","VIC",3109,null,"Tunstall Square Kindergarten Inc","DONCASTER EAST","MAGGS STREET ",3823,145.1655535,-37.794023
null,"29 Dec 2011","Address",null,"PR-00002878","VIC",3043,null,"Tullamarine Primary School","TULLAMARINE","BROADMEADOWS ROAD ",3831,144.8794049,-37.7038521
null,"29 Dec 2011","Address",null,"PR-00002928","VIC",3137,null,"Kilsyth Primary School Council","KILSYTH","DURHAM ROAD ",3836,145.3218262,-37.8013201
null,"29 Dec 2011","Address",null,"PR-00002818","VIC",3915,null,"St Mary's Catholic Church","HASTINGS","St Mary's Catholic Church",3840,145.1918587,-38.3037028
null,"15 Mar 2017","Address","Tooradin Primary School","PR-00009282","VIC",3980,null,"Tooradin Primary School Council","TOORADIN","Tooradin Primary School",3848,145.3788701,-38.2078878
null,"29 Dec 2011","Address",null,"PR-00001669","VIC",3095,null,"Meruka Child Care Co-op","ELTHAM","Meruka Child Care Co-op",3854,145.1351231,-37.7123369
null,"29 Dec 2011","Address",null,"PR-00001350","VIC",3910,null,"Bayport Drive Preschool Committee Inc","LANGWARRIN","Bayport Drive Preschool Committee ",3865,145.1927835,-38.1608986
null,"29 Dec 2011","Address",null,"PR-00002925","VIC",3931,null,"Mornington Primary School","MORNINGTON","VALE STREET ",3867,145.0426007,-38.2222692
null,"17 Jun 2013","Address",null,"PR-40000667","VIC",3019,null,"Hannah Ali","BRAYBROOK","32 DANTUM GR ",3886,144.853277,-37.775382
null,"29 Dec 2011","Address",null,"PR-00001840","VIC",3127,null,"Surrey Hills Preschool Centre Inc","SURREY HILLS","18 VERDUN STREET ",3891,145.0939163,-37.8335194
null,"29 Dec 2011","Address",null,"PR-00002739","VIC",3071,null,"Thornbury Primary School Council","THORNBURY","HUTTON ST ",3898,144.9938598,-37.7552654
null,"29 Dec 2011","Address",null,"PR-00002810","VIC",3043,null,"Gladstone Views Primary School Council","GLADSTONE PARK","CARRICK DRIVE ",3902,144.8961984,-37.6917521
null,"29 Dec 2011","Address",null,"PR-00002022","VIC",3088,null,"Greensborough Campus Child Care Inc","GREENSBOROUGH","C/-  NMIT CIVIC DRIVE ",3903,145.110576,-37.688031
null,"29 Dec 2011","Address",null,"PR-00002784","VIC",3095,null,"Eltham North Primary School","ELTHAM NORTH","WATTLETREE ROAD ",3944,145.1486023,-37.6958336
null,"22 Jul 2016","Address","GOLD STAR FAMILY DAY CARE PTY LTD","PR-40005831","VIC",3065,null,"GOLD STAR FAMILY DAY CARE PTY LTD","FITZROY","U 159  90 BRUNSWICK ST ",3907,144.9776918,-37.8047
null,"29 Dec 2011","Address",null,"PR-00001366","VIC",3918,null,"Bittern Preschool Association Inc","BITTERN","Bittern Preschool  ",3913,145.176559,-38.335583
